Seed,System,Method,Noise Level,Noise Percentage,Method name,Discovered Diff eq.,MSE of Diff eq.,MSE of trajectory,R^2 trajectory score,Out-of-sample R^2 score,Solver Status In-Sample,Solver Status OOS
42,Exponential Decay,LLM-SR,Noise Level 1,0.0,"Exp. Decay: LLM-SR, Noise Level 1",dy/dt = -0.2999 * y,5.2284665303419686e-08,1.6186690863956325e-06,0.9999997582419125,0.9999997582667705,Success,Success
42,Exponential Decay,LLM-SR,Noise Level 2,0.05,"Exp. Decay: LLM-SR, Noise Level 2",dy/dt = -0.2986 * y,0.001599588543063038,0.00017354378252269854,0.9999740801789997,0.9999740801872429,Success,Success
42,Exponential Decay,LLM-SR,Noise Level 3,0.1,"Exp. Decay: LLM-SR, Noise Level 3",dy/dt = -0.3757 * exp(+ 0.2401 * y),0.06959533109292665,0.05728119812799317,0.9914447041514439,0.7622400989667647,Success,Success
42,Logistic Growth,LLM-SR,Noise Level 1,0.0,"Log Growth: LLM-SR, Noise Level 1",dP/dt = 1.0986 * P * (1.0 - P / 1000.0173),0.006087514898114344,0.11839898670203089,0.9999953549089011,0.9999972872509958,Success,Success
42,Logistic Growth,LLM-SR,Noise Level 2,0.05,"Log Growth: LLM-SR, Noise Level 2",dP/dt = 1.0718 * P * (1.0 - P / 999.9039),77.70008561320391,12.476710006628405,0.9995105071740098,0.9992511973175641,Success,Success
42,Logistic Growth,LLM-SR,Noise Level 3,0.1,"Log Growth: LLM-SR, Noise Level 3",dP/dt = 1.0173 * P * (1.0 - P / 998.3734),293.32033636335854,123.82201525687249,0.9951421498026572,0.9928035673316464,Success,Success
42,Oscillator,LLM-SR,Noise Level 1,0.0,"Oscillator: LLM-SR, Noise Level 1",d²θ/dt² = -3.2673 * sin(0.9979 * θ),4.573913880720417e-06,0.00011560423299718094,0.9999072714515554,0.9999911392298948,Success,Success
42,Oscillator,LLM-SR (Filtered),Noise Level 1,0.0,"Oscillator: LLM-SR, Filtered, Noise Level 1",d²θ/dt² = -3.3058 * sin(0.9762 * θ),0.0005061589238333947,0.0013261425202137267,0.9989362736316673,0.9988242218152278,Success,Success
42,Oscillator,LLM-SR,Noise Level 2,0.05,"Oscillator: LLM-SR, Noise Level 2",d²θ/dt² = 2.1746 * θ + -3.8327 * (θ ** 3),17.911972683514072,2.519352647310397,-1.0208249122734787,-2.073997503643836,Success,Success
42,Oscillator,LLM-SR (Filtered),Noise Level 2,0.05,"Oscillator: LLM-SR, Filtered, Noise Level 2",d²θ/dt² = -1.6025 * θ + -1.1708 * (θ ** 3),3.591452715268352,2.8956094216668578,-1.322628259987793,-0.6621392346610555,Success,Success
42,Oscillator,LLM-SR,Noise Level 3,0.1,"Oscillator: LLM-SR, Noise Level 3",d²θ/dt² = 1.1917 * θ + -2.2200 * (θ ** 3),4.985086722774593,0.36989410830623215,0.7033002784400101,-1.8854137603696688,Success,Success
